var_a,var_b
both_has_coiled_coil,family_match
both_has_coiled_coil,go_bp_overlap
both_has_coiled_coil,high_conf_interaction
both_has_coiled_coil,label
both_has_coiled_coil,length_similar
both_has_coiled_coil,physical_interaction
both_has_coiled_coil,same_pathway
both_high_evidence,high_conf_interaction
both_high_evidence,label
both_high_evidence,length_similar
both_high_evidence,physical_interaction
both_long_protein,high_conf_interaction
both_long_protein,label
both_long_protein,physical_interaction
both_long_protein,same_pathway
both_membrane_related,go_bp_overlap
both_membrane_related,high_conf_interaction
both_membrane_related,label
both_membrane_related,physical_interaction
both_membrane_related,same_pathway
both_reviewed,high_conf_interaction
domain_match,high_conf_interaction
domain_match,label
domain_match,physical_interaction
family_match,high_conf_interaction
family_match,label
family_match,physical_interaction
family_match,same_pathway
go_bp_overlap,high_conf_interaction
go_bp_overlap,label
go_bp_overlap,length_similar
go_bp_overlap,physical_interaction
high_conf_interaction,length_similar
high_conf_interaction,same_location
high_conf_interaction,same_pathway
label,length_similar
label,same_location
label,same_pathway
length_similar,physical_interaction
length_similar,same_location
physical_interaction,same_location
physical_interaction,same_pathway
same_location,same_pathway
