src,dst,rel,label,edge_semantic,edge_reason
0,1388,drug_disease,2,negative,direct:mechanism
0,4506,drug_disease,2,negative,direct:mechanism
0,1105,drug_disease,2,negative,direct:mechanism
0,4507,drug_disease,2,negative,direct:mechanism
0,4508,drug_disease,2,negative,direct:mechanism
0,4509,drug_disease,2,negative,direct:mechanism
1,1388,drug_disease,2,negative,direct:mechanism
1,4506,drug_disease,2,negative,direct:mechanism
1,1105,drug_disease,2,negative,direct:mechanism
1,4507,drug_disease,2,negative,direct:mechanism
1,4508,drug_disease,2,negative,direct:mechanism
1,4509,drug_disease,2,negative,direct:mechanism
2,1728,drug_disease,2,negative,direct:mechanism
2,4506,drug_disease,2,negative,direct:mechanism
2,1809,drug_disease,2,negative,direct:mechanism
2,4510,drug_disease,2,negative,direct:mechanism
2,1105,drug_disease,2,negative,direct:mechanism
2,4507,drug_disease,2,negative,direct:mechanism
2,4508,drug_disease,2,negative,direct:mechanism
2,219,drug_disease,2,negative,direct:mechanism
2,4218,drug_disease,2,negative,direct:mechanism
3,1728,drug_disease,2,negative,direct:mechanism
3,4506,drug_disease,2,negative,direct:mechanism
3,4511,drug_disease,2,negative,direct:mechanism
3,4509,drug_disease,2,negative,direct:mechanism
4,1809,drug_disease,2,negative,direct:mechanism
5,4506,drug_disease,2,negative,direct:mechanism
6,1728,drug_disease,2,negative,direct:mechanism
6,4506,drug_disease,2,negative,direct:mechanism
6,1749,drug_disease,2,negative,direct:mechanism
6,4320,drug_disease,2,negative,direct:mechanism
7,339,drug_disease,2,negative,direct:mechanism
7,4320,drug_disease,2,negative,direct:mechanism
8,1728,drug_disease,2,negative,direct:mechanism
8,301,drug_disease,2,negative,direct:mechanism
8,4506,drug_disease,2,negative,direct:mechanism
8,1900,drug_disease,2,negative,direct:mechanism
8,4511,drug_disease,2,negative,direct:mechanism
8,339,drug_disease,2,negative,direct:mechanism
8,1809,drug_disease,2,negative,direct:mechanism
8,1749,drug_disease,2,negative,direct:mechanism
8,3534,drug_disease,2,negative,direct:mechanism
8,4218,drug_disease,2,negative,direct:mechanism
8,665,drug_disease,2,negative,direct:mechanism
9,4512,drug_disease,2,negative,direct:mechanism
9,301,drug_disease,2,negative,direct:mechanism
9,4511,drug_disease,2,negative,direct:mechanism
9,339,drug_disease,2,negative,direct:mechanism
9,4218,drug_disease,2,negative,direct:mechanism
9,4320,drug_disease,2,negative,direct:mechanism
10,4511,drug_disease,2,negative,direct:mechanism
10,665,drug_disease,2,negative,direct:mechanism
11,4506,drug_disease,2,negative,direct:mechanism
11,4509,drug_disease,2,negative,direct:mechanism
12,4509,drug_disease,2,negative,direct:mechanism
13,4506,drug_disease,2,negative,direct:mechanism
13,1900,drug_disease,2,negative,direct:mechanism
13,4511,drug_disease,2,negative,direct:mechanism
13,1809,drug_disease,2,negative,direct:mechanism
13,1749,drug_disease,2,negative,direct:mechanism
13,4510,drug_disease,2,negative,direct:mechanism
14,4506,drug_disease,2,negative,direct:mechanism
15,420,drug_disease,2,negative,direct:mechanism
15,4511,drug_disease,2,negative,direct:mechanism
15,4509,drug_disease,2,negative,direct:mechanism
16,4506,drug_disease,2,negative,direct:mechanism
17,1728,drug_disease,2,negative,direct:mechanism
17,4506,drug_disease,2,negative,direct:mechanism
18,4511,drug_disease,2,negative,direct:mechanism
18,1084,drug_disease,2,negative,direct:mechanism
19,1728,drug_disease,2,negative,direct:mechanism
19,4511,drug_disease,2,negative,direct:mechanism
19,1749,drug_disease,2,negative,direct:mechanism
19,4509,drug_disease,2,negative,direct:mechanism
20,1900,drug_disease,2,negative,direct:mechanism
21,4506,drug_disease,2,negative,direct:mechanism
22,4506,drug_disease,2,negative,direct:mechanism
23,339,drug_disease,2,negative,direct:mechanism
24,4509,drug_disease,2,negative,direct:mechanism
25,3226,drug_disease,2,negative,direct:mechanism
25,4513,drug_disease,2,negative,direct:mechanism
25,4218,drug_disease,2,negative,direct:mechanism
26,4506,drug_disease,2,negative,direct:mechanism
26,4507,drug_disease,2,negative,direct:mechanism
27,1900,drug_disease,2,negative,direct:mechanism
27,4514,drug_disease,2,negative,direct:mechanism
28,1728,drug_disease,2,negative,direct:mechanism
28,4506,drug_disease,2,negative,direct:mechanism
28,4509,drug_disease,2,negative,direct:mechanism
28,4218,drug_disease,2,negative,direct:mechanism
28,4514,drug_disease,2,negative,direct:mechanism
28,665,drug_disease,2,negative,direct:mechanism
29,3534,drug_disease,2,negative,direct:mechanism
29,4509,drug_disease,2,negative,direct:mechanism
30,1728,drug_disease,2,negative,direct:mechanism
30,4506,drug_disease,2,negative,direct:mechanism
30,4511,drug_disease,2,negative,direct:mechanism
30,1809,drug_disease,2,negative,direct:mechanism
30,1749,drug_disease,2,negative,direct:mechanism
30,1084,drug_disease,2,negative,direct:mechanism
30,2667,drug_disease,2,negative,direct:mechanism
31,4218,drug_disease,2,negative,direct:mechanism
32,4512,drug_disease,2,negative,direct:mechanism
32,4218,drug_disease,2,negative,direct:mechanism
32,665,drug_disease,2,negative,direct:mechanism
33,4512,drug_disease,2,negative,direct:mechanism
33,4506,drug_disease,2,negative,direct:mechanism
34,2311,drug_disease,2,negative,direct:mechanism
34,4218,drug_disease,2,negative,direct:mechanism
35,4512,drug_disease,2,negative,direct:mechanism
35,4506,drug_disease,2,negative,direct:mechanism
35,2311,drug_disease,2,negative,direct:mechanism
35,4218,drug_disease,2,negative,direct:mechanism
35,665,drug_disease,2,negative,direct:mechanism
36,1728,drug_disease,2,negative,direct:mechanism
37,4506,drug_disease,2,negative,direct:mechanism
37,1900,drug_disease,2,negative,direct:mechanism
38,4506,drug_disease,2,negative,direct:mechanism
39,665,drug_disease,2,negative,direct:mechanism
40,1749,drug_disease,2,negative,direct:mechanism
41,4506,drug_disease,2,negative,direct:mechanism
42,4320,drug_disease,2,negative,direct:mechanism
43,1388,drug_disease,2,negative,direct:mechanism
43,4511,drug_disease,2,negative,direct:mechanism
43,4507,drug_disease,2,negative,direct:mechanism
44,4506,drug_disease,2,negative,direct:mechanism
45,1728,drug_disease,2,negative,direct:mechanism
45,4506,drug_disease,2,negative,direct:mechanism
45,1900,drug_disease,2,negative,direct:mechanism
45,1749,drug_disease,2,negative,direct:mechanism
45,2748,drug_disease,2,negative,direct:mechanism
45,665,drug_disease,2,negative,direct:mechanism
46,4506,drug_disease,2,negative,direct:mechanism
46,4510,drug_disease,2,negative,direct:mechanism
47,3534,drug_disease,2,negative,direct:mechanism
48,1728,drug_disease,2,negative,direct:mechanism
48,4509,drug_disease,2,negative,direct:mechanism
48,665,drug_disease,2,negative,direct:mechanism
49,739,drug_disease,2,negative,direct:mechanism
50,1900,drug_disease,2,negative,direct:mechanism
50,1749,drug_disease,2,negative,direct:mechanism
