src,dst,rel,label,edge_semantic,edge_reason
0,1502,drug_disease,2,negative,direct:mechanism
1,39,drug_disease,2,negative,direct:mechanism
2,605,drug_disease,2,negative,direct:mechanism
2,1503,drug_disease,2,negative,direct:mechanism
2,315,drug_disease,2,negative,direct:mechanism
3,1503,drug_disease,2,negative,direct:mechanism
4,605,drug_disease,2,negative,direct:mechanism
4,1504,drug_disease,2,negative,direct:mechanism
5,1503,drug_disease,2,negative,direct:mechanism
6,605,drug_disease,2,negative,direct:mechanism
6,1355,drug_disease,2,negative,direct:mechanism
6,1505,drug_disease,2,negative,direct:mechanism
7,1504,drug_disease,2,negative,direct:mechanism
8,1506,drug_disease,2,negative,direct:mechanism
9,1507,drug_disease,2,negative,direct:mechanism
10,1355,drug_disease,2,negative,direct:mechanism
11,605,drug_disease,2,negative,direct:mechanism
11,1355,drug_disease,2,negative,direct:mechanism
12,1508,drug_disease,2,negative,direct:mechanism
12,315,drug_disease,2,negative,direct:mechanism
13,1509,drug_disease,2,negative,direct:mechanism
14,1355,drug_disease,2,negative,direct:mechanism
15,1509,drug_disease,2,negative,direct:mechanism
16,1355,drug_disease,2,negative,direct:mechanism
17,1510,drug_disease,2,negative,direct:mechanism
18,1355,drug_disease,2,negative,direct:mechanism
19,1355,drug_disease,2,negative,direct:mechanism
20,605,drug_disease,2,negative,direct:mechanism
20,1355,drug_disease,2,negative,direct:mechanism
20,1504,drug_disease,2,negative,direct:mechanism
21,1355,drug_disease,2,negative,direct:mechanism
22,1504,drug_disease,2,negative,direct:mechanism
23,1355,drug_disease,2,negative,direct:mechanism
24,1511,drug_disease,1,positive,direct:therapeutic
24,1512,drug_disease,1,positive,direct:therapeutic
25,1513,drug_disease,1,positive,direct:therapeutic
26,1514,drug_disease,1,positive,direct:therapeutic
26,1515,drug_disease,1,positive,direct:therapeutic
27,1515,drug_disease,1,positive,direct:therapeutic
28,38,drug_disease,1,positive,direct:therapeutic
28,1516,drug_disease,1,positive,direct:therapeutic
28,1517,drug_disease,1,positive,direct:therapeutic
28,1518,drug_disease,1,positive,direct:therapeutic
29,1519,drug_disease,1,positive,direct:therapeutic
29,1520,drug_disease,1,positive,direct:therapeutic
29,1521,drug_disease,1,positive,direct:therapeutic
29,1522,drug_disease,1,positive,direct:therapeutic
29,1523,drug_disease,1,positive,direct:therapeutic
30,1504,drug_disease,1,positive,direct:therapeutic
30,1524,drug_disease,1,positive,direct:therapeutic
31,1525,drug_disease,1,positive,direct:therapeutic
32,1526,drug_disease,1,positive,direct:therapeutic
32,1527,drug_disease,1,positive,direct:therapeutic
33,1521,drug_disease,1,positive,direct:therapeutic
33,1506,drug_disease,1,positive,direct:therapeutic
33,1528,drug_disease,1,positive,direct:therapeutic
34,1529,drug_disease,1,positive,direct:therapeutic
34,1355,drug_disease,1,positive,direct:therapeutic
35,1530,drug_disease,1,positive,direct:therapeutic
34,1531,drug_disease,1,positive,direct:therapeutic
34,1532,drug_disease,1,positive,direct:therapeutic
34,1533,drug_disease,1,positive,direct:therapeutic
34,1534,drug_disease,1,positive,direct:therapeutic
34,1535,drug_disease,1,positive,direct:therapeutic
34,1536,drug_disease,1,positive,direct:therapeutic
34,1505,drug_disease,1,positive,direct:therapeutic
34,1537,drug_disease,1,positive,direct:therapeutic
34,1517,drug_disease,1,positive,direct:therapeutic
36,1532,drug_disease,1,positive,direct:therapeutic
36,1534,drug_disease,1,positive,direct:therapeutic
36,1538,drug_disease,1,positive,direct:therapeutic
36,1539,drug_disease,1,positive,direct:therapeutic
37,1540,drug_disease,1,positive,direct:therapeutic
38,1541,drug_disease,1,positive,direct:therapeutic
38,1542,drug_disease,1,positive,direct:therapeutic
38,1543,drug_disease,1,positive,direct:therapeutic
38,1544,drug_disease,1,positive,direct:therapeutic
38,1545,drug_disease,1,positive,direct:therapeutic
39,1521,drug_disease,1,positive,direct:therapeutic
39,1546,drug_disease,1,positive,direct:therapeutic
39,1547,drug_disease,1,positive,direct:therapeutic
40,1547,drug_disease,1,positive,direct:therapeutic
41,1544,drug_disease,1,positive,direct:therapeutic
42,1548,drug_disease,1,positive,direct:therapeutic
42,1549,drug_disease,1,positive,direct:therapeutic
42,1526,drug_disease,1,positive,direct:therapeutic
43,1514,drug_disease,1,positive,direct:therapeutic
43,1515,drug_disease,1,positive,direct:therapeutic
35,457,drug_disease,1,positive,direct:therapeutic
35,1550,drug_disease,1,positive,direct:therapeutic
35,1551,drug_disease,1,positive,direct:therapeutic
35,1541,drug_disease,1,positive,direct:therapeutic
35,1552,drug_disease,1,positive,direct:therapeutic
35,1553,drug_disease,1,positive,direct:therapeutic
35,1554,drug_disease,1,positive,direct:therapeutic
35,1516,drug_disease,1,positive,direct:therapeutic
35,1555,drug_disease,1,positive,direct:therapeutic
35,1517,drug_disease,1,positive,direct:therapeutic
44,1556,drug_disease,1,positive,direct:therapeutic
44,1553,drug_disease,1,positive,direct:therapeutic
44,1557,drug_disease,1,positive,direct:therapeutic
44,1558,drug_disease,1,positive,direct:therapeutic
44,1559,drug_disease,1,positive,direct:therapeutic
44,1560,drug_disease,1,positive,direct:therapeutic
45,1507,drug_disease,1,positive,direct:therapeutic
46,1548,drug_disease,1,positive,direct:therapeutic
47,1561,drug_disease,1,positive,direct:therapeutic
48,1549,drug_disease,1,positive,direct:therapeutic
48,1562,drug_disease,1,positive,direct:therapeutic
49,1563,drug_disease,1,positive,direct:therapeutic
50,41,drug_disease,1,positive,direct:therapeutic
50,887,drug_disease,1,positive,direct:therapeutic
50,1552,drug_disease,1,positive,direct:therapeutic
50,1564,drug_disease,1,positive,direct:therapeutic
50,1565,drug_disease,1,positive,direct:therapeutic
50,1513,drug_disease,1,positive,direct:therapeutic
50,1566,drug_disease,1,positive,direct:therapeutic
50,1567,drug_disease,1,positive,direct:therapeutic
51,1568,drug_disease,1,positive,direct:therapeutic
51,1569,drug_disease,1,positive,direct:therapeutic
51,1570,drug_disease,1,positive,direct:therapeutic
52,1529,drug_disease,1,positive,direct:therapeutic
53,1571,drug_disease,1,positive,direct:therapeutic
54,1572,drug_disease,1,positive,direct:therapeutic
54,1558,drug_disease,1,positive,direct:therapeutic
55,605,drug_disease,1,positive,direct:therapeutic
55,1573,drug_disease,1,positive,direct:therapeutic
55,202,drug_disease,1,positive,direct:therapeutic
55,1574,drug_disease,1,positive,direct:therapeutic
56,1575,drug_disease,1,positive,direct:therapeutic
56,1576,drug_disease,1,positive,direct:therapeutic
56,1577,drug_disease,1,positive,direct:therapeutic
56,1545,drug_disease,1,positive,direct:therapeutic
56,1578,drug_disease,1,positive,direct:therapeutic
57,1579,drug_disease,1,positive,direct:therapeutic
57,1558,drug_disease,1,positive,direct:therapeutic
57,1559,drug_disease,1,positive,direct:therapeutic
57,1580,drug_disease,1,positive,direct:therapeutic
58,1581,drug_disease,1,positive,direct:therapeutic
58,1582,drug_disease,1,positive,direct:therapeutic
59,600,drug_disease,1,positive,direct:therapeutic
60,1583,drug_disease,1,positive,direct:therapeutic
60,1558,drug_disease,1,positive,direct:therapeutic
60,1584,drug_disease,1,positive,direct:therapeutic
61,1545,drug_disease,1,positive,direct:therapeutic
62,1585,drug_disease,1,positive,direct:therapeutic
63,1519,drug_disease,1,positive,direct:therapeutic
63,1586,drug_disease,1,positive,direct:therapeutic
63,1587,drug_disease,1,positive,direct:therapeutic
63,1573,drug_disease,1,positive,direct:therapeutic
63,1533,drug_disease,1,positive,direct:therapeutic
64,1529,drug_disease,1,positive,direct:therapeutic
65,1588,drug_disease,1,positive,direct:therapeutic
66,1589,drug_disease,1,positive,direct:therapeutic
67,1590,drug_disease,1,positive,direct:therapeutic
68,1589,drug_disease,1,positive,direct:therapeutic
69,1591,drug_disease,1,positive,direct:therapeutic
69,1592,drug_disease,1,positive,direct:therapeutic
70,38,drug_disease,1,positive,direct:therapeutic
71,1514,drug_disease,1,positive,direct:therapeutic
72,1514,drug_disease,1,positive,direct:therapeutic
72,1593,drug_disease,1,positive,direct:therapeutic
72,1594,drug_disease,1,positive,direct:therapeutic
73,315,drug_disease,1,positive,direct:therapeutic
74,1595,drug_disease,1,positive,direct:therapeutic
75,39,drug_disease,1,positive,direct:therapeutic
76,1596,drug_disease,1,positive,direct:therapeutic
77,1519,drug_disease,1,positive,direct:therapeutic
78,1521,drug_disease,1,positive,direct:therapeutic
78,1594,drug_disease,1,positive,direct:therapeutic
79,1597,drug_disease,1,positive,direct:therapeutic
80,1507,drug_disease,1,positive,direct:therapeutic
81,1564,drug_disease,1,positive,direct:therapeutic
82,1544,drug_disease,1,positive,direct:therapeutic
82,1505,drug_disease,1,positive,direct:therapeutic
83,1527,drug_disease,1,positive,direct:therapeutic
84,1598,drug_disease,1,positive,direct:therapeutic
85,1599,drug_disease,1,positive,direct:therapeutic
2,1600,drug_disease,1,positive,direct:therapeutic
2,1601,drug_disease,1,positive,direct:therapeutic
2,1530,drug_disease,1,positive,direct:therapeutic
2,1602,drug_disease,1,positive,direct:therapeutic
2,897,drug_disease,1,positive,direct:therapeutic
2,1516,drug_disease,1,positive,direct:therapeutic
2,1603,drug_disease,1,positive,direct:therapeutic
2,1513,drug_disease,1,positive,direct:therapeutic
2,1604,drug_disease,1,positive,direct:therapeutic
2,1605,drug_disease,1,positive,direct:therapeutic
86,1606,drug_disease,1,positive,direct:therapeutic
4,1607,drug_disease,1,positive,direct:therapeutic
4,1608,drug_disease,1,positive,direct:therapeutic
6,1514,drug_disease,1,positive,direct:therapeutic
6,1545,drug_disease,1,positive,direct:therapeutic
87,1609,drug_disease,1,positive,direct:therapeutic
7,1610,drug_disease,1,positive,direct:therapeutic
7,1611,drug_disease,1,positive,direct:therapeutic
7,1586,drug_disease,1,positive,direct:therapeutic
7,1546,drug_disease,1,positive,direct:therapeutic
7,1506,drug_disease,1,positive,direct:therapeutic
7,1512,drug_disease,1,positive,direct:therapeutic
7,1612,drug_disease,1,positive,direct:therapeutic
7,1613,drug_disease,1,positive,direct:therapeutic
88,1614,drug_disease,1,positive,direct:therapeutic
88,1507,drug_disease,1,positive,direct:therapeutic
88,1547,drug_disease,1,positive,direct:therapeutic
88,1615,drug_disease,1,positive,direct:therapeutic
88,1616,drug_disease,1,positive,direct:therapeutic
88,1617,drug_disease,1,positive,direct:therapeutic
8,1618,drug_disease,1,positive,direct:therapeutic
8,1619,drug_disease,1,positive,direct:therapeutic
11,1620,drug_disease,1,positive,direct:therapeutic
12,1621,drug_disease,1,positive,direct:therapeutic
12,1575,drug_disease,1,positive,direct:therapeutic
12,1533,drug_disease,1,positive,direct:therapeutic
12,1622,drug_disease,1,positive,direct:therapeutic
89,1583,drug_disease,1,positive,direct:therapeutic
90,1623,drug_disease,1,positive,direct:therapeutic
90,1624,drug_disease,1,positive,direct:therapeutic
90,1571,drug_disease,1,positive,direct:therapeutic
91,1526,drug_disease,1,positive,direct:therapeutic
91,1625,drug_disease,1,positive,direct:therapeutic
92,1626,drug_disease,1,positive,direct:therapeutic
92,1610,drug_disease,1,positive,direct:therapeutic
92,1627,drug_disease,1,positive,direct:therapeutic
92,1628,drug_disease,1,positive,direct:therapeutic
92,1629,drug_disease,1,positive,direct:therapeutic
93,1630,drug_disease,1,positive,direct:therapeutic
93,217,drug_disease,1,positive,direct:therapeutic
93,1627,drug_disease,1,positive,direct:therapeutic
93,1535,drug_disease,1,positive,direct:therapeutic
94,1561,drug_disease,1,positive,direct:therapeutic
93,1517,drug_disease,1,positive,direct:therapeutic
18,1523,drug_disease,1,positive,direct:therapeutic
95,1558,drug_disease,1,positive,direct:therapeutic
95,1559,drug_disease,1,positive,direct:therapeutic
96,1631,drug_disease,1,positive,direct:therapeutic
96,1632,drug_disease,1,positive,direct:therapeutic
97,1633,drug_disease,1,positive,direct:therapeutic
98,1548,drug_disease,1,positive,direct:therapeutic
99,1634,drug_disease,1,positive,direct:therapeutic
100,1635,drug_disease,1,positive,direct:therapeutic
100,1546,drug_disease,1,positive,direct:therapeutic
100,1564,drug_disease,1,positive,direct:therapeutic
100,1523,drug_disease,1,positive,direct:therapeutic
100,1636,drug_disease,1,positive,direct:therapeutic
100,1637,drug_disease,1,positive,direct:therapeutic
24,1506,drug_disease,2,negative,direct:mechanism
25,1355,drug_disease,2,negative,direct:mechanism
25,1504,drug_disease,2,negative,direct:mechanism
25,1547,drug_disease,2,negative,direct:mechanism
26,1355,drug_disease,2,negative,direct:mechanism
101,1355,drug_disease,2,negative,direct:mechanism
101,1504,drug_disease,2,negative,direct:mechanism
102,1504,drug_disease,2,negative,direct:mechanism
103,1355,drug_disease,2,negative,direct:mechanism
103,1504,drug_disease,2,negative,direct:mechanism
104,1504,drug_disease,2,negative,direct:mechanism
105,1503,drug_disease,2,negative,direct:mechanism
106,1638,drug_disease,2,negative,direct:mechanism
28,1503,drug_disease,2,negative,direct:mechanism
28,1638,drug_disease,2,negative,direct:mechanism
29,1503,drug_disease,2,negative,direct:mechanism
30,1512,drug_disease,2,negative,direct:mechanism
107,1503,drug_disease,2,negative,direct:mechanism
108,1355,drug_disease,2,negative,direct:mechanism
109,1355,drug_disease,2,negative,direct:mechanism
110,1519,drug_disease,2,negative,direct:mechanism
111,1355,drug_disease,2,negative,direct:mechanism
112,315,drug_disease,2,negative,direct:mechanism
39,1504,drug_disease,2,negative,direct:mechanism
39,315,drug_disease,2,negative,direct:mechanism
113,1506,drug_disease,2,negative,direct:mechanism
114,374,drug_disease,2,negative,direct:mechanism
115,1503,drug_disease,2,negative,direct:mechanism
116,1503,drug_disease,2,negative,direct:mechanism
116,1505,drug_disease,2,negative,direct:mechanism
117,1503,drug_disease,2,negative,direct:mechanism
118,605,drug_disease,2,negative,direct:mechanism
118,1504,drug_disease,2,negative,direct:mechanism
44,1355,drug_disease,2,negative,direct:mechanism
44,1507,drug_disease,2,negative,direct:mechanism
119,1639,drug_disease,2,negative,direct:mechanism
120,605,drug_disease,2,negative,direct:mechanism
120,1504,drug_disease,2,negative,direct:mechanism
49,1547,drug_disease,2,negative,direct:mechanism
121,1640,drug_disease,2,negative,direct:mechanism
121,1641,drug_disease,2,negative,direct:mechanism
50,1355,drug_disease,2,negative,direct:mechanism
50,1504,drug_disease,2,negative,direct:mechanism
50,1503,drug_disease,2,negative,direct:mechanism
50,1638,drug_disease,2,negative,direct:mechanism
50,1557,drug_disease,2,negative,direct:mechanism
50,1505,drug_disease,2,negative,direct:mechanism
50,1512,drug_disease,2,negative,direct:mechanism
52,374,drug_disease,2,negative,direct:mechanism
53,1642,drug_disease,2,negative,direct:mechanism
53,1547,drug_disease,2,negative,direct:mechanism
122,1506,drug_disease,2,negative,direct:mechanism
54,1355,drug_disease,2,negative,direct:mechanism
54,1504,drug_disease,2,negative,direct:mechanism
123,1355,drug_disease,2,negative,direct:mechanism
124,1643,drug_disease,2,negative,direct:mechanism
125,605,drug_disease,2,negative,direct:mechanism
126,1644,drug_disease,2,negative,direct:mechanism
127,1355,drug_disease,2,negative,direct:mechanism
128,1638,drug_disease,2,negative,direct:mechanism
24,1355,drug_disease,2,negative,direct:mechanism
24,1504,drug_disease,2,negative,direct:mechanism
129,1355,drug_disease,2,negative,direct:mechanism
130,1355,drug_disease,2,negative,direct:mechanism
131,1355,drug_disease,2,negative,direct:mechanism
132,1505,drug_disease,2,negative,direct:mechanism
133,1505,drug_disease,2,negative,direct:mechanism
134,1519,drug_disease,2,negative,direct:mechanism
134,1505,drug_disease,2,negative,direct:mechanism
134,1506,drug_disease,2,negative,direct:mechanism
134,1547,drug_disease,2,negative,direct:mechanism
135,1505,drug_disease,2,negative,direct:mechanism
136,1505,drug_disease,2,negative,direct:mechanism
136,1547,drug_disease,2,negative,direct:mechanism
137,1505,drug_disease,2,negative,direct:mechanism
138,1355,drug_disease,2,negative,direct:mechanism
138,1645,drug_disease,2,negative,direct:mechanism
138,1503,drug_disease,2,negative,direct:mechanism
138,1638,drug_disease,2,negative,direct:mechanism
139,1646,drug_disease,2,negative,direct:mechanism
140,1646,drug_disease,2,negative,direct:mechanism
141,1638,drug_disease,2,negative,direct:mechanism
142,1355,drug_disease,2,negative,direct:mechanism
143,1506,drug_disease,2,negative,direct:mechanism
144,315,drug_disease,2,negative,direct:mechanism
145,1610,drug_disease,2,negative,direct:mechanism
145,1355,drug_disease,2,negative,direct:mechanism
145,1504,drug_disease,2,negative,direct:mechanism
145,1503,drug_disease,2,negative,direct:mechanism
145,1638,drug_disease,2,negative,direct:mechanism
145,1557,drug_disease,2,negative,direct:mechanism
145,1505,drug_disease,2,negative,direct:mechanism
145,1547,drug_disease,2,negative,direct:mechanism
146,39,drug_disease,2,negative,direct:mechanism
147,1557,drug_disease,2,negative,direct:mechanism
147,1547,drug_disease,2,negative,direct:mechanism
148,39,drug_disease,2,negative,direct:mechanism
149,39,drug_disease,2,negative,direct:mechanism
149,1504,drug_disease,2,negative,direct:mechanism
149,1557,drug_disease,2,negative,direct:mechanism
150,1503,drug_disease,2,negative,direct:mechanism
151,1355,drug_disease,2,negative,direct:mechanism
152,605,drug_disease,2,negative,direct:mechanism
153,39,drug_disease,2,negative,direct:mechanism
154,1355,drug_disease,2,negative,direct:mechanism
155,1355,drug_disease,2,negative,direct:mechanism
156,605,drug_disease,2,negative,direct:mechanism
156,1647,drug_disease,2,negative,direct:mechanism
157,1547,drug_disease,2,negative,direct:mechanism
158,1506,drug_disease,2,negative,direct:mechanism
159,1507,drug_disease,2,negative,direct:mechanism
160,605,drug_disease,2,negative,direct:mechanism
160,39,drug_disease,2,negative,direct:mechanism
161,1638,drug_disease,2,negative,direct:mechanism
162,1502,drug_disease,2,negative,direct:mechanism
163,39,drug_disease,2,negative,direct:mechanism
164,1355,drug_disease,2,negative,direct:mechanism
164,374,drug_disease,2,negative,direct:mechanism
165,1507,drug_disease,2,negative,direct:mechanism
166,1547,drug_disease,2,negative,direct:mechanism
167,1648,drug_disease,2,negative,direct:mechanism
167,1512,drug_disease,2,negative,direct:mechanism
168,1512,drug_disease,2,negative,direct:mechanism
169,1355,drug_disease,2,negative,direct:mechanism
170,1510,drug_disease,2,negative,direct:mechanism
171,1510,drug_disease,2,negative,direct:mechanism
172,1355,drug_disease,2,negative,direct:mechanism
173,1649,drug_disease,2,negative,direct:mechanism
174,605,drug_disease,2,negative,direct:mechanism
174,1504,drug_disease,2,negative,direct:mechanism
175,1504,drug_disease,2,negative,direct:mechanism
176,1355,drug_disease,2,negative,direct:mechanism
177,1503,drug_disease,2,negative,direct:mechanism
178,1355,drug_disease,2,negative,direct:mechanism
179,1547,drug_disease,2,negative,direct:mechanism
180,1355,drug_disease,2,negative,direct:mechanism
181,315,drug_disease,2,negative,direct:mechanism
182,315,drug_disease,2,negative,direct:mechanism
183,315,drug_disease,2,negative,direct:mechanism
184,315,drug_disease,2,negative,direct:mechanism
185,315,drug_disease,2,negative,direct:mechanism
186,315,drug_disease,2,negative,direct:mechanism
187,1503,drug_disease,2,negative,direct:mechanism
188,1355,drug_disease,2,negative,direct:mechanism
189,1650,drug_disease,2,negative,direct:mechanism
